sep=;
"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"BUILT_BY";"CONFIGURATION__POLE-THROW_";"COPYRIGHT";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAX_SWITCHING_CURRENT";"MAX_SWITCHING_VOLTAGE_AC_";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"PRODUCT_TYPE";"PROD_ID";"RS_PART_NUMBER";"SOURCELIBRARY";"SWITCH_TYPE";"TE_PART_NUMBER";"VALUE";"VENDOR";
"1";"";"DCBARRELSMT";"DCJACK_2MM_SMT";"CN1";"2.0mm DC Barrel Jack";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"DIODE-SMB";"SMB";"D2";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"11";"";"";"";"";"";"";"";"";
"1";"";"PINHD-2X4";"2X04";"JP2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"47";"";"";"";"";"";"";"";"";
"1";"";"R-EU_R0603";"R0603";"L2";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"TC2030-MCP-NL";"TC2030-MCP-NL";"J1";"TAG-CONNECT ICSP ConnectorManufacturer: Tag-Connect";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"15";"100nF";"C-EUC0603";"C0603";"C1, C2, C5, C6, C9, C11, C12, C13, C14, C15, C17, C18, C20, C24, C25";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10K";"R-EU_R0603";"R0603";"R8";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10nF";"C-EUC0603";"C0603";"C10";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10uF";"C-EUC0603";"C0603";"C16";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"10uF";"C-EUC0805";"C0805";"C7, C8, C19, C21";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1825027-8";"1825027-8";"SW2_1825027-C_TEC";"SW1";"";"";"";"EMA_UL_Team";"Single Pole - Single Throw";"Copyright (C) 2016 Accelerated Designs. All rights reserved";"FSMRA3JH04=R/A,TACT PB SW,160G";"";"";"1825027-8";"-";"-";"";"";"";"";"";"";"";"Switch";"";"";"TE_Connectivity-2018-03-16";"Tactile Switches";"1825027-8";"";"TE Connectivity";
"2";"18pF";"C-EUC0603";"C0603";"C22, C23";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2.32K";"R-EU_R0603";"R0603";"R9";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"24C32ASN";"24C32ASN";"SO-08";"IC3";"Serial EEPROM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"IS24C32A-2GLI";"1224413";"43M4588";"0";"";"";"";"";"";"";"";"";
"1";"25Mhz";"CRYSTALSMD-HC49UP";"HC49UP";"Y3";"Crystals (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"330uF";"CPOL-EUE5-10.5";"E5-10,5";"C3, C4";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"4.7k";"R-EU_R0603";"R0603";"R1, R2, R3, R4, R5";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"470r";"R-EU_R0603";"R0603";"R10, R11, R12, R21";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"49.9R";"R-EU_R0603";"R0603";"R6, R7, R13, R14";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"679105700";"679105700";"679105700";"X1";"MINI PCI EXPRESS CONNECTOR 0.8MM PITCH, 52 CIRCUIT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"67910-5700";"unknown";"93M2128";"";"";"";"";"";"";"";"";"";
